<<<<<<< HEAD
Product,Region,Price,Units Sold,Sale Date
Product_42,Region_4,87.2,15.0,2022-05-11
Product_41,Region_10,18.42,8.0,2022-05-12
Product_11,Region_3,49.66,12.0,2022-05-13
Product_26,Region_3,22.26,13.0,2022-05-14
Product_49,Region_5,55.48,11.0,2022-05-15
Product_2,,9.6,10.0,2022-05-16
Product_1,Region_4,7.97,9.0,2022-05-17
,Region_2,23.46,10.0,2022-05-18
Product_9,Region_3,14.4,10.0,2022-05-19
Product_3,Region_7,8.03,11.0,2022-05-20
Product_18,Region_2,131.06,14.0,2022-05-21
Product_49,Region_5,136.4,14.0,2022-05-22
Product_37,Region_3,4.31,6.0,2022-05-23
Product_26,Region_3,,6.0,2022-05-24
Product_11,Region_9,62.74,9.0,2022-05-25
,Region_10,6.62,4.0,2022-05-26
Product_42,Region_9,164.0,12.0,2022-05-27
Product_46,Region_8,132.27,10.0,2022-05-28
Product_17,Region_5,153.5,14.0,2022-05-29
Product_17,Region_5,180.61,4.0,2022-05-30
Product_7,Region_5,142.49,9.0,2022-05-31
Product_27,Region_8,19.28,7.0,2022-06-01
Product_35,Region_9,33.79,12.0,2022-06-02
Product_6,Region_1,115.16,6.0,2022-06-03
Product_2,Region_4,29.85,10.0,2022-06-04
Product_33,,7.97,13.0,2022-06-05
Product_22,Region_4,7.59,14.0,2022-06-06
Product_29,Region_8,198.02,,2022-06-07
Product_11,,64.18,11.0,2022-06-08
Product_42,Region_9,232.5,8.0,2022-06-09
Product_14,Region_1,469.65,15.0,2022-06-10
Product_50,Region_8,110.11,14.0,2022-06-11
Product_33,Region_2,110.07,10.0,2022-06-12
Product_44,Region_10,13.08,8.0,2022-06-13
Product_10,Region_1,130.43,14.0,2022-06-14
Product_2,Region_7,8.8,17.0,2022-06-15
Product_2,Region_3,211.85,12.0,2022-06-16
Product_25,Region_8,255.73,6.0,2022-06-17
Product_15,Region_3,,10.0,2022-06-18
,Region_2,,9.0,2022-06-19
Product_37,Region_10,321.89,5.0,2022-06-20
Product_30,Region_1,21.2,13.0,2022-06-21
,Region_8,457.9,11.0,2022-06-22
Product_8,Region_3,61.3,18.0,2022-06-23
Product_6,Region_3,104.83,11.0,2022-06-24
Product_46,Region_10,32.78,8.0,2022-06-25
Product_19,Region_8,47.3,12.0,2022-06-26
Product_40,Region_7,2.91,7.0,2022-06-27
Product_13,Region_5,205.42,11.0,2022-06-28
,Region_2,147.47,10.0,2022-06-29
Product_22,Region_3,103.97,11.0,2022-06-30
,Region_9,77.49,9.0,2022-07-01
Product_9,Region_6,44.34,10.0,2022-07-02
,Region_5,,,2022-07-03
,Region_4,239.28,12.0,2022-07-04
Product_15,Region_2,16.68,9.0,2022-07-05
Product_14,Region_4,151.39,11.0,2022-07-06
Product_39,Region_10,97.33,8.0,2022-07-07
Product_15,Region_6,409.83,13.0,2022-07-08
Product_50,Region_5,102.97,8.0,2022-07-09
Product_33,Region_1,296.76,,2022-07-10
Product_45,Region_9,,11.0,2022-07-11
Product_46,Region_1,85.86,5.0,2022-07-12
Product_20,Region_6,114.95,9.0,2022-07-13
Product_27,Region_6,89.77,,2022-07-14
Product_4,Region_3,132.74,8.0,2022-07-15
Product_20,Region_1,25.8,10.0,2022-07-16
Product_21,Region_7,141.15,14.0,2022-07-17
Product_15,Region_4,38.52,,2022-07-18
,Region_8,16.7,9.0,2022-07-19
Product_34,Region_4,24.47,15.0,2022-07-20
Product_29,Region_10,27.1,12.0,2022-07-21
Product_30,Region_9,77.67,11.0,2022-07-22
Product_23,Region_2,,12.0,2022-07-23
Product_2,Region_6,30.56,10.0,2022-07-24
Product_6,Region_9,27.65,7.0,2022-07-25
Product_4,Region_9,219.58,5.0,2022-07-26
Product_33,Region_1,99.93,,2022-07-27
Product_33,Region_1,71.14,8.0,2022-07-28
Product_50,,246.29,8.0,2022-07-29
Product_2,Region_6,24.8,13.0,2022-07-30
Product_28,,154.09,5.0,2022-07-31
Product_4,Region_2,253.12,,2022-08-01
Product_14,,4.15,12.0,2022-08-02
Product_42,,21.32,10.0,2022-08-03
Product_49,Region_10,,15.0,2022-08-04
Product_16,Region_9,395.76,6.0,2022-08-05
,Region_8,126.08,10.0,2022-08-06
Product_47,Region_5,83.07,9.0,2022-08-07
Product_18,Region_5,106.03,12.0,2022-08-08
Product_32,Region_5,191.17,10.0,2022-08-09
Product_9,Region_3,37.3,14.0,2022-08-10
Product_11,Region_10,130.12,9.0,2022-08-11
Product_48,Region_2,51.11,5.0,2022-08-12
Product_38,,116.73,8.0,2022-08-13
Product_4,Region_10,6.02,6.0,2022-08-14
Product_22,Region_4,12.12,,2022-08-15
Product_46,Region_5,116.9,8.0,2022-08-16
,,24.35,10.0,2022-08-17
Product_28,Region_7,268.56,11.0,2022-08-18
Product_16,,57.62,13.0,2022-08-19
Product_23,Region_7,310.89,10.0,2022-08-20
Product_8,Region_8,433.54,9.0,2022-08-21
Product_22,,320.26,10.0,2022-08-22
Product_44,Region_4,110.0,,2022-08-23
Product_30,Region_2,11.28,9.0,2022-08-24
Product_13,Region_8,54.91,9.0,2022-08-25
Product_28,Region_1,66.71,10.0,2022-08-26
Product_42,Region_9,22.6,14.0,2022-08-27
Product_5,Region_3,157.65,,2022-08-28
Product_5,Region_1,95.04,7.0,2022-08-29
,Region_8,309.27,8.0,2022-08-30
Product_7,Region_6,39.85,7.0,2022-08-31
Product_17,Region_10,248.85,,2022-09-01
Product_21,Region_9,220.56,5.0,2022-09-02
,Region_6,17.87,,2022-09-03
Product_10,Region_4,258.01,10.0,2022-09-04
,Region_8,13.52,,2022-09-05
Product_22,Region_6,24.16,,2022-09-06
Product_30,Region_6,49.21,9.0,2022-09-07
Product_4,,115.81,,2022-09-08
Product_17,Region_2,,8.0,2022-09-09
,Region_9,29.06,16.0,2022-09-10
Product_1,Region_5,20.43,9.0,2022-09-11
,Region_2,1.65,10.0,2022-09-12
Product_4,Region_9,12.88,7.0,2022-09-13
Product_47,Region_3,,8.0,2022-09-14
Product_13,Region_9,86.75,9.0,2022-09-15
Product_1,Region_1,125.89,13.0,2022-09-16
Product_20,Region_9,128.04,7.0,2022-09-17
Product_5,Region_9,33.09,10.0,2022-09-18
Product_44,Region_9,273.43,14.0,2022-09-19
Product_40,Region_8,210.62,14.0,2022-09-20
Product_9,Region_3,,10.0,2022-09-21
Product_30,Region_10,321.41,10.0,2022-09-22
Product_28,,21.63,5.0,2022-09-23
,Region_5,26.51,7.0,2022-09-24
Product_21,Region_2,66.51,9.0,2022-09-25
Product_15,Region_7,38.37,13.0,2022-09-26
Product_49,Region_8,1296.0,14.0,2022-09-27
Product_27,Region_6,15.99,17.0,2022-09-28
,Region_1,44.71,6.0,2022-09-29
Product_48,Region_3,,10.0,2022-09-30
,Region_2,215.46,7.0,2022-10-01
Product_1,Region_5,441.99,,2022-10-02
Product_17,Region_8,158.59,10.0,2022-10-03
Product_47,Region_2,,,2022-10-04
Product_3,Region_4,15.73,7.0,2022-10-05
Product_24,Region_7,60.38,13.0,2022-10-06
Product_30,Region_2,67.67,15.0,2022-10-07
Product_13,Region_1,121.51,7.0,2022-10-08
Product_48,Region_9,20.02,13.0,2022-10-09
Product_27,Region_10,135.21,10.0,2022-10-10
Product_19,,104.76,7.0,2022-10-11
Product_32,Region_5,177.57,16.0,2022-10-12
Product_14,Region_7,17.39,10.0,2022-10-13
Product_29,Region_9,,,2022-10-14
,Region_1,12.44,13.0,2022-10-15
Product_44,Region_10,,10.0,2022-10-16
Product_12,,20.94,10.0,2022-10-17
Product_41,Region_10,60.56,11.0,2022-10-18
Product_4,Region_6,53.9,9.0,2022-10-19
Product_41,Region_8,,12.0,2022-10-20
Product_37,Region_3,344.45,8.0,2022-10-21
Product_50,Region_6,68.16,,2022-10-22
Product_6,,23.96,9.0,2022-10-23
Product_7,Region_10,66.41,6.0,2022-10-24
,Region_9,9.94,7.0,2022-10-25
Product_48,,192.02,5.0,2022-10-26
Product_8,Region_4,,6.0,2022-10-27
Product_1,Region_7,62.99,13.0,2022-10-28
Product_23,Region_7,88.72,11.0,2022-10-29
Product_5,Region_2,153.79,15.0,2022-10-30
Product_15,Region_10,22.97,17.0,2022-10-31
,,9.43,7.0,2022-11-01
Product_45,Region_2,6.2,14.0,2022-11-02
Product_27,Region_5,186.15,9.0,2022-11-03
Product_13,Region_1,17.08,13.0,2022-11-04
,Region_4,15.3,7.0,2022-11-05
Product_39,Region_2,248.75,7.0,2022-11-06
,Region_1,120.33,13.0,2022-11-07
Product_17,Region_3,214.9,6.0,2022-11-08
Product_6,Region_7,33.39,8.0,2022-11-09
Product_15,Region_10,39.72,13.0,2022-11-10
Product_38,Region_5,131.93,10.0,2022-11-11
Product_11,Region_5,333.79,6.0,2022-11-12
Product_10,Region_6,245.55,16.0,2022-11-13
Product_27,Region_10,59.15,9.0,2022-11-14
,,305.21,9.0,2022-11-15
Product_21,Region_10,129.03,4.0,2022-11-16
Product_22,,115.46,6.0,2022-11-17
Product_3,Region_5,35.45,9.0,2022-11-18
Product_44,Region_3,25.51,10.0,2022-11-19
Product_38,Region_8,67.32,5.0,2022-11-20
Product_32,Region_1,,8.0,2022-11-21
Product_40,Region_1,110.57,,2022-11-22
Product_40,,7.92,13.0,2022-11-23
Product_29,Region_5,97.97,7.0,2022-11-24
Product_17,Region_3,111.23,,2022-11-25
Product_36,Region_5,7.85,10.0,2022-11-26
Product_8,Region_7,32.63,13.0,2022-11-27
Product_10,Region_8,70.47,12.0,2022-11-28
Product_12,Region_6,30.67,7.0,2022-11-29
,Region_6,41.27,8.0,2022-11-30
Product_5,Region_9,4.38,6.0,2022-12-01
Product_33,Region_4,132.07,5.0,2022-12-02
Product_38,Region_9,134.69,14.0,2022-12-03
Product_14,Region_3,,10.0,2022-12-04
Product_39,,2.51,8.0,2022-12-05
Product_42,Region_5,34.83,13.0,2022-12-06
Product_8,Region_2,138.98,12.0,2022-12-07
Product_26,Region_5,168.82,13.0,2022-12-08
Product_49,Region_2,,14.0,2022-12-09
Product_18,Region_10,16.3,9.0,2022-12-10
,Region_1,222.62,12.0,2022-12-11
Product_7,Region_3,125.8,10.0,2022-12-12
Product_36,Region_7,24.53,10.0,2022-12-13
Product_4,Region_5,55.77,7.0,2022-12-14
Product_48,Region_9,52.97,7.0,2022-12-15
Product_15,Region_8,5.71,12.0,2022-12-16
Product_15,Region_9,8.82,18.0,2022-12-17
Product_49,Region_4,37.56,2.0,2022-12-18
Product_40,,10.89,13.0,2022-12-19
Product_15,Region_6,169.91,9.0,2022-12-20
Product_30,Region_9,88.6,,2022-12-21
Product_4,Region_3,46.23,7.0,2022-12-22
,Region_6,14.54,14.0,2022-12-23
Product_50,Region_6,160.44,7.0,2022-12-24
Product_46,Region_6,0.71,6.0,2022-12-25
Product_11,Region_5,99.25,5.0,2022-12-26
Product_35,Region_6,55.41,8.0,2022-12-27
Product_8,Region_2,140.0,,2022-12-28
,,292.85,9.0,2022-12-29
Product_8,Region_7,17.2,,2022-12-30
Product_48,Region_2,11.21,11.0,2022-12-31
Product_18,Region_8,147.14,,2023-01-01
Product_50,Region_1,58.1,3.0,2023-01-02
Product_24,Region_2,171.17,11.0,2023-01-03
,Region_2,151.34,11.0,2023-01-04
Product_45,Region_7,226.04,15.0,2023-01-05
Product_41,Region_3,204.58,14.0,2023-01-06
Product_20,Region_9,12.47,10.0,2023-01-07
Product_38,Region_10,44.98,7.0,2023-01-08
Product_49,Region_1,187.31,8.0,2023-01-09
Product_32,Region_9,23.81,11.0,2023-01-10
Product_24,Region_9,30.35,14.0,2023-01-11
Product_16,Region_10,,17.0,2023-01-12
Product_6,Region_8,179.28,11.0,2023-01-13
Product_38,Region_2,198.73,15.0,2023-01-14
Product_39,Region_2,12.26,7.0,2023-01-15
Product_13,Region_9,145.84,10.0,2023-01-16
Product_28,Region_8,61.98,8.0,2023-01-17
Product_7,Region_6,20.56,11.0,2023-01-18
Product_24,Region_5,26.04,17.0,2023-01-19
Product_10,,7.49,15.0,2023-01-20
Product_43,Region_4,38.3,5.0,2023-01-21
,Region_5,86.2,11.0,2023-01-22
Product_37,Region_8,79.84,11.0,2023-01-23
Product_36,,,7.0,2023-01-24
Product_8,Region_9,46.05,,2023-01-25
Product_34,Region_2,142.47,10.0,2023-01-26
Product_1,Region_3,,9.0,2023-01-27
Product_23,Region_5,173.08,12.0,2023-01-28
Product_23,Region_1,,7.0,2023-01-29
Product_2,Region_10,36.92,8.0,2023-01-30
Product_24,Region_3,88.46,15.0,2023-01-31
Product_1,Region_6,50.97,,2023-02-01
Product_25,Region_10,,13.0,2023-02-02
Product_35,Region_3,36.4,9.0,2023-02-03
Product_4,Region_5,6.32,18.0,2023-02-04
Product_32,Region_8,137.38,12.0,2023-02-05
Product_23,Region_2,56.44,10.0,2023-02-06
Product_45,Region_4,84.85,13.0,2023-02-07
Product_41,Region_5,89.86,5.0,2023-02-08
Product_48,Region_2,52.57,14.0,2023-02-09
Product_46,Region_9,241.98,15.0,2023-02-10
Product_46,Region_4,,,2023-02-11
Product_27,Region_7,1793.8999999999999,9.0,2023-02-12
,Region_6,,6.0,2023-02-13
Product_40,Region_10,25.28,14.0,2023-02-14
Product_8,Region_8,34.22,11.0,2023-02-15
Product_17,Region_1,,11.0,2023-02-16
Product_42,Region_1,51.46,6.0,2023-02-17
Product_40,Region_3,144.83,9.0,2023-02-18
Product_36,Region_9,0.27,11.0,2023-02-19
Product_38,,61.39,15.0,2023-02-20
Product_49,Region_2,68.23,8.0,2023-02-21
,Region_5,254.46,15.0,2023-02-22
Product_9,Region_3,5.86,,2023-02-23
Product_4,Region_10,,11.0,2023-02-24
Product_26,Region_2,389.5,8.0,2023-02-25
Product_34,Region_2,2636.9,14.0,2023-02-26
Product_46,Region_1,8.08,14.0,2023-02-27
Product_40,Region_3,365.73,13.0,2023-02-28
Product_7,Region_10,22.36,13.0,2023-03-01
Product_16,Region_8,10.43,12.0,2023-03-02
Product_11,Region_7,178.97,12.0,2023-03-03
Product_7,Region_8,285.07,9.0,2023-03-04
Product_19,Region_10,119.52,9.0,2023-03-05
Product_10,Region_3,62.21,,2023-03-06
Product_24,Region_1,26.31,6.0,2023-03-07
Product_28,Region_5,31.64,,2023-03-08
Product_2,Region_9,,10.0,2023-03-09
Product_17,Region_7,5.39,,2023-03-10
Product_26,,158.92,14.0,2023-03-11
Product_50,Region_9,531.91,7.0,2023-03-12
Product_18,Region_1,,21.0,2023-03-13
Product_40,Region_6,194.73,9.0,2023-03-14
Product_24,Region_4,16.64,7.0,2023-03-15
Product_10,Region_1,,14.0,2023-03-16
Product_45,Region_2,225.08,5.0,2023-03-17
Product_44,Region_10,0.19,,2023-03-18
Product_28,Region_10,25.67,11.0,2023-03-19
,Region_2,122.72,7.0,2023-03-20
Product_45,Region_4,93.74,11.0,2023-03-21
Product_7,Region_5,347.1,13.0,2023-03-22
Product_40,Region_5,14.84,13.0,2023-03-23
Product_47,Region_9,125.34,13.0,2023-03-24
Product_48,Region_6,22.0,,2023-03-25
Product_18,Region_2,20.95,11.0,2023-03-26
Product_4,Region_8,122.27,9.0,2023-03-27
Product_27,Region_5,427.89,12.0,2023-03-28
Product_46,,21.55,7.0,2023-03-29
Product_25,,56.25,10.0,2023-03-30
Product_36,,259.99,9.0,2023-03-31
Product_43,Region_7,40.46,10.0,2023-04-01
Product_26,Region_4,79.24,13.0,2023-04-02
Product_36,Region_10,99.09,6.0,2023-04-03
Product_7,Region_7,25.6,8.0,2023-04-04
Product_3,Region_5,113.47,,2023-04-05
,Region_8,62.42,9.0,2023-04-06
Product_44,Region_9,267.11,,2023-04-07
,Region_5,,10.0,2023-04-08
Product_49,Region_3,35.29,10.0,2023-04-09
Product_28,Region_5,84.96,11.0,2023-04-10
Product_38,Region_9,86.84,,2023-04-11
Product_22,Region_2,23.9,5.0,2023-04-12
Product_24,Region_3,53.37,5.0,2023-04-13
Product_48,Region_4,,6.0,2023-04-14
Product_24,Region_9,35.89,14.0,2023-04-15
,Region_3,163.22,13.0,2023-04-16
,Region_8,0.27,11.0,2023-04-17
Product_23,Region_10,19.33,12.0,2023-04-18
Product_10,Region_10,,12.0,2023-04-19
Product_6,,23.33,13.0,2023-04-20
Product_13,Region_10,237.19,16.0,2023-04-21
Product_31,Region_8,69.06,8.0,2023-04-22
Product_31,Region_8,37.09,12.0,2023-04-23
Product_50,Region_8,48.84,13.0,2023-04-24
Product_24,Region_8,119.36,11.0,2023-04-25
Product_18,Region_6,417.05,13.0,2023-04-26
Product_45,Region_1,28.65,14.0,2023-04-27
Product_24,Region_2,56.98,7.0,2023-04-28
Product_24,Region_5,46.87,7.0,2023-04-29
Product_30,Region_6,3.61,9.0,2023-04-30
Product_33,Region_3,47.36,12.0,2023-05-01
,Region_9,42.12,13.0,2023-05-02
Product_37,Region_6,204.45,18.0,2023-05-03
Product_2,,165.71,10.0,2023-05-04
,Region_6,13.87,,2023-05-05
Product_20,Region_6,265.17,11.0,2023-05-06
,Region_4,132.34,7.0,2023-05-07
Product_3,Region_7,148.79,14.0,2023-05-08
Product_8,Region_3,150.52,12.0,2023-05-09
Product_41,Region_8,108.36,,2023-05-10
Product_13,Region_10,31.42,12.0,2023-05-11
,Region_7,106.18,12.0,2023-05-12
Product_25,Region_9,1.96,13.0,2023-05-13
Product_3,Region_5,27.74,10.0,2023-05-14
Product_21,Region_9,0.31,9.0,2023-05-15
,Region_8,9.53,17.0,2023-05-16
Product_49,,,9.0,2023-05-17
Product_39,Region_6,239.07,10.0,2023-05-18
,Region_7,145.96,8.0,2023-05-19
Product_37,Region_10,27.41,6.0,2023-05-20
Product_5,Region_5,18.8,13.0,2023-05-21
Product_3,,178.67,6.0,2023-05-22
Product_1,,111.42,10.0,2023-05-23
Product_43,Region_2,142.48,13.0,2023-05-24
Product_5,Region_5,69.08,7.0,2023-05-25
Product_17,Region_10,58.65,8.0,2023-05-26
Product_31,Region_1,224.72,12.0,2023-05-27
Product_17,Region_2,24.72,12.0,2023-05-28
Product_30,Region_10,92.61,,2023-05-29
Product_35,Region_1,86.42,15.0,2023-05-30
Product_26,Region_4,20.41,11.0,2023-05-31
Product_12,Region_1,82.69,11.0,2023-06-01
Product_34,Region_5,28.81,7.0,2023-06-02
Product_16,Region_2,11.28,10.0,2023-06-03
Product_15,Region_2,25.49,9.0,2023-06-04
Product_9,Region_7,,5.0,2023-06-05
Product_37,Region_1,39.44,12.0,2023-06-06
Product_1,Region_6,42.74,11.0,2023-06-07
,Region_1,64.6,9.0,2023-06-08
,Region_10,36.59,8.0,2023-06-09
Product_24,Region_7,76.68,17.0,2023-06-10
Product_43,Region_7,,9.0,2023-06-11
Product_36,Region_7,33.35,3.0,2023-06-12
Product_10,Region_8,105.09,8.0,2023-06-13
Product_49,Region_7,95.96,9.0,2023-06-14
Product_43,Region_8,91.82,11.0,2023-06-15
Product_36,Region_1,,7.0,2023-06-16
Product_22,,48.23,12.0,2023-06-17
Product_6,,55.81,9.0,2023-06-18
Product_37,Region_4,20.91,13.0,2023-06-19
,Region_5,205.47,11.0,2023-06-20
Product_12,Region_10,42.45,10.0,2023-06-21
Product_40,Region_5,38.31,8.0,2023-06-22
Product_35,Region_6,69.47,15.0,2023-06-23
Product_17,Region_6,40.0,16.0,2023-06-24
Product_43,,,14.0,2023-06-25
Product_7,Region_5,86.54,10.0,2023-06-26
Product_13,Region_5,274.59,9.0,2023-06-27
Product_18,,58.95,11.0,2023-06-28
Product_22,Region_10,,13.0,2023-06-29
Product_13,Region_9,,7.0,2023-06-30
Product_48,Region_3,6.22,10.0,2023-07-01
Product_32,Region_4,34.51,12.0,2023-07-02
Product_8,Region_1,59.96,12.0,2023-07-03
Product_39,,1.46,6.0,2023-07-04
Product_1,Region_3,3.4,,2023-07-05
Product_4,Region_3,37.08,,2023-07-06
Product_30,Region_5,32.98,5.0,2023-07-07
Product_4,Region_7,21.01,5.0,2023-07-08
Product_22,Region_5,54.63,10.0,2023-07-09
Product_42,Region_3,18.63,9.0,2023-07-10
Product_23,,47.4,10.0,2023-07-11
Product_19,Region_6,308.76,11.0,2023-07-12
Product_25,Region_2,10.2,7.0,2023-07-13
Product_4,Region_7,9.33,22.0,2023-07-14
Product_17,Region_6,147.54,11.0,2023-07-15
Product_33,Region_9,40.55,13.0,2023-07-16
,Region_1,,5.0,2023-07-17
,Region_9,114.24,5.0,2023-07-18
Product_13,Region_1,16.84,,2023-07-19
Product_21,Region_4,489.4,14.0,2023-07-20
Product_43,Region_8,85.74,13.0,2023-07-21
,Region_4,47.34,10.0,2023-07-22
,Region_4,352.09,9.0,2023-07-23
Product_18,Region_7,,7.0,2023-07-24
Product_49,Region_9,187.93,10.0,2023-07-25
Product_28,Region_2,23.48,11.0,2023-07-26
Product_12,Region_5,37.5,,2023-07-27
Product_34,Region_3,273.54,6.0,2023-07-28
Product_36,,149.56,6.0,2023-07-29
Product_34,Region_9,135.0,6.0,2023-07-30
Product_7,,51.43,7.0,2023-07-31
Product_12,Region_10,84.68,10.0,2023-08-01
Product_10,Region_9,109.82,16.0,2023-08-02
Product_21,Region_9,99.64,13.0,2023-08-03
Product_43,Region_7,73.17,,2023-08-04
Product_17,Region_7,120.08,13.0,2023-08-05
Product_36,Region_4,217.11,12.0,2023-08-06
Product_13,Region_9,12.86,10.0,2023-08-07
Product_31,,247.09,,2023-08-08
Product_25,Region_5,99.24,13.0,2023-08-09
Product_47,,39.45,10.0,2023-08-10
,Region_5,16.93,,2023-08-11
Product_8,Region_4,31.55,5.0,2023-08-12
Product_49,Region_4,52.43,10.0,2023-08-13
Product_23,Region_9,191.57,10.0,2023-08-14
Product_27,Region_3,24.09,4.0,2023-08-15
Product_5,Region_2,150.87,,2023-08-16
Product_43,Region_1,2.91,13.0,2023-08-17
Product_22,Region_2,90.28,5.0,2023-08-18
Product_43,Region_10,52.43,7.0,2023-08-19
,Region_2,375.79,9.0,2023-08-20
Product_45,Region_4,,10.0,2023-08-21
Product_42,Region_1,106.52,9.0,2023-08-22
Product_38,Region_3,14.26,10.0,2023-08-23
Product_2,Region_7,41.68,9.0,2023-08-24
Product_37,Region_4,13.79,15.0,2023-08-25
Product_49,,96.06,11.0,2023-08-26
Product_10,Region_7,104.18,,2023-08-27
,,49.04,13.0,2023-08-28
Product_5,Region_3,41.85,,2023-08-29
Product_3,Region_10,290.1,13.0,2023-08-30
Product_49,Region_2,25.83,10.0,2023-08-31
,Region_1,30.84,7.0,2023-09-01
Product_1,Region_10,100.23,11.0,2023-09-02
Product_15,Region_8,168.24,12.0,2023-09-03
Product_23,Region_8,148.5,13.0,2023-09-04
,Region_8,71.41,,2023-09-05
Product_25,Region_7,30.04,7.0,2023-09-06
Product_3,Region_8,,9.0,2023-09-07
,Region_10,55.49,8.0,2023-09-08
Product_3,,302.68,11.0,2023-09-09
Product_40,Region_7,81.04,7.0,2023-09-10
Product_33,Region_2,15.3,13.0,2023-09-11
Product_4,Region_6,153.74,4.0,2023-09-12
Product_44,,31.02,7.0,2023-09-13
Product_23,Region_2,33.87,7.0,2023-09-14
Product_4,Region_4,123.88,15.0,2023-09-15
Product_45,Region_9,,7.0,2023-09-16
Product_23,Region_5,26.21,6.0,2023-09-17
Product_4,Region_10,230.83,,2023-09-18
Product_42,Region_10,75.39,5.0,2023-09-19
Product_47,Region_5,45.95,12.0,2023-09-20
Product_44,Region_6,85.28,5.0,2023-09-21
Product_12,Region_4,3.77,9.0,2023-09-22
Product_48,Region_9,73.92,13.0,2023-09-23
Product_14,Region_1,10.35,11.0,2023-09-24
Product_9,Region_2,90.49,12.0,2023-09-25
Product_38,,7.46,14.0,2023-09-26
Product_21,Region_7,0.19,12.0,2023-09-27
Product_9,Region_9,76.01,11.0,2023-09-28
Product_1,,107.5,6.0,2023-09-29
Product_43,Region_10,59.11,11.0,2023-09-30
Product_32,Region_8,64.64,14.0,2023-10-01
Product_10,Region_2,3.63,15.0,2023-10-02
Product_35,Region_3,,8.0,2023-10-03
Product_24,Region_3,63.87,10.0,2023-10-04
Product_22,Region_5,50.53,12.0,2023-10-05
Product_4,Region_10,113.54,12.0,2023-10-06
Product_42,Region_4,52.17,11.0,2023-10-07
Product_30,,40.29,4.0,2023-10-08
Product_28,Region_5,22.29,14.0,2023-10-09
Product_40,,51.4,7.0,2023-10-10
Product_36,Region_6,,14.0,2023-10-11
Product_3,Region_3,100.39,7.0,2023-10-12
,Region_6,58.85,14.0,2023-10-13
Product_1,Region_4,328.71,13.0,2023-10-14
Product_34,Region_5,172.94,17.0,2023-10-15
,Region_9,3.12,10.0,2023-10-16
Product_19,Region_9,44.57,6.0,2023-10-17
Product_32,Region_3,70.12,7.0,2023-10-18
Product_41,Region_10,94.15,11.0,2023-10-19
Product_50,,378.07,,2023-10-20
Product_28,,27.68,16.0,2023-10-21
Product_38,Region_4,40.62,,2023-10-22
,Region_1,140.73,7.0,2023-10-23
Product_42,Region_4,35.05,12.0,2023-10-24
Product_27,Region_8,44.28,3.0,2023-10-25
,Region_3,201.24,4.0,2023-10-26
Product_11,Region_1,72.01,11.0,2023-10-27
Product_2,,9.39,13.0,2023-10-28
Product_9,Region_2,1.49,12.0,2023-10-29
Product_29,,112.04,3.0,2023-10-30
Product_18,,1.9,16.0,2023-10-31
Product_10,Region_9,22.73,8.0,2023-11-01
Product_14,Region_1,26.16,10.0,2023-11-02
Product_50,Region_1,340.86,6.0,2023-11-03
Product_4,Region_10,147.78,5.0,2023-11-04
Product_17,,284.74,10.0,2023-11-05
Product_15,Region_1,224.26,13.0,2023-11-06
Product_49,Region_10,266.31,7.0,2023-11-07
Product_50,Region_4,234.09,7.0,2023-11-08
Product_26,Region_1,8.76,14.0,2023-11-09
Product_24,Region_10,184.03,13.0,2023-11-10
Product_6,Region_4,22.76,7.0,2023-11-11
Product_2,Region_5,41.14,7.0,2023-11-12
Product_43,Region_10,269.17,9.0,2023-11-13
Product_27,Region_8,318.83,,2023-11-14
Product_1,Region_8,75.88,12.0,2023-11-15
Product_43,Region_5,102.99,6.0,2023-11-16
Product_43,Region_9,27.02,14.0,2023-11-17
Product_10,Region_8,31.78,9.0,2023-11-18
Product_45,Region_1,289.7,11.0,2023-11-19
Product_15,Region_4,50.34,8.0,2023-11-20
Product_24,Region_1,,9.0,2023-11-21
Product_9,Region_10,173.12,5.0,2023-11-22
Product_29,Region_9,162.56,8.0,2023-11-23
Product_15,Region_1,112.68,12.0,2023-11-24
Product_23,Region_1,102.15,11.0,2023-11-25
Product_35,Region_5,,9.0,2023-11-26
Product_41,Region_9,23.09,13.0,2023-11-27
Product_16,Region_5,136.36,10.0,2023-11-28
Product_7,Region_6,76.79,13.0,2023-11-29
,Region_2,,10.0,2023-11-30
Product_38,Region_4,230.62,12.0,2023-12-01
Product_27,Region_1,60.39,10.0,2023-12-02
Product_2,Region_3,96.03,11.0,2023-12-03
Product_50,Region_9,19.74,9.0,2023-12-04
Product_41,Region_3,116.51,18.0,2023-12-05
Product_16,Region_6,4.52,11.0,2023-12-06
Product_50,Region_7,144.47,16.0,2023-12-07
,,184.5,6.0,2023-12-08
Product_38,,170.92,14.0,2023-12-09
Product_45,Region_4,,10.0,2023-12-10
Product_42,,89.12,16.0,2023-12-11
Product_22,Region_9,54.74,,2023-12-12
Product_2,,386.4,11.0,2023-12-13
Product_12,Region_1,127.89,21.0,2023-12-14
Product_50,Region_4,75.22,16.0,2023-12-15
Product_9,Region_5,12.59,6.0,2023-12-16
Product_38,Region_2,33.58,9.0,2023-12-17
Product_16,Region_6,110.72,,2023-12-18
Product_24,,36.91,7.0,2023-12-19
Product_20,Region_2,9.09,6.0,2023-12-20
Product_27,Region_2,160.34,10.0,2023-12-21
,Region_4,17.9,,2023-12-22
Product_35,Region_2,17.2,12.0,2023-12-23
